Method, Sample size, Valid configs, Defective configs, Time (s)
"Random Sampling", 0, 0, 0, 0.0,
"Random Sampling", 250, 250, 96, 0.009861230850219727, 
"Random Sampling", 500, 500, 192, 0.018343687057495117, 
"Random Sampling", 750, 750, 280, 0.03280806541442871, 
"Random Sampling", 1000, 1000, 367, 0.03634023666381836, 
"Random Sampling", 1250, 1250, 448, 0.04988861083984375, 
"Random Sampling", 1500, 1500, 544, 0.05383634567260742, 
"Random Sampling", 1750, 1750, 634, 0.06170511245727539, 
"Random Sampling", 2000, 2000, 740, 0.07972836494445801, 
"Random Sampling", 2250, 2250, 798, 0.10144853591918945, 
"Random Sampling", 2500, 2500, 932, 0.08890485763549805, 
"UCT MCTS (sc:iters=10, ew=0.5)", 0, 0, 0, 0.0,
"UCT MCTS (sc:iters=10, ew=0.5)", 250, 118, 113, 65.47171521186829, 
"UCT MCTS (sc:iters=10, ew=0.5)", 500, 216, 212, 130.52160477638245, 
"UCT MCTS (sc:iters=10, ew=0.5)", 750, 365, 355, 195.3656084537506, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1000, 456, 450, 261.81319403648376, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1250, 603, 594, 321.46212220191956, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1500, 702, 691, 395.14913177490234, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1750, 807, 797, 455.78014516830444,
"UCT MCTS (sc:iters=10, ew=0.5)", 2000, 787, 787, 489.9650721549988, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2250, 920, 916, 539.8669586181641, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2500, 1012, 1011, 619.2053334712982,
"UCT MCTS (sc:iters=100, ew=0.5)", 0, 0, 0, 0.0, 
"UCT MCTS (sc:iters=100, ew=0.5)", 250, 250, 250, 499.0712649822235, 
"UCT MCTS (sc:iters=100, ew=0.5)", 500, 500, 500, 1006.6833612918854, 
"UCT MCTS (sc:iters=100, ew=0.5)", 750, 750, 750, 1523.3495707511902, 
"UCT MCTS (sc:iters=100, ew=0.5)", 1000, 1000, 1000, 2024.3980374336243, 
"UCT MCTS (sc:iters=100, ew=0.5)", 1250, 1250, 1250, 2549.9770271778107, 
"UCT MCTS (sc:iters=100, ew=0.5)", 1500, 1500, 1499, 3079.292934179306, 
"UCT MCTS (sc:iters=100, ew=0.5)", 1750, 1750, 1750, 3589.4901118278503, 
"UCT MCTS (sc:iters=100, ew=0.5)", 2000, 2000, 1999, 4149.150963068008, 
"UCT MCTS (sc:iters=100, ew=0.5)", 2250, 2250, 2249, 4675.577159404755, 
"UCT MCTS (sc:iters=100, ew=0.5)", 2500, 2500, 2500, 5149.631547212601, 
"Random Strategy", 0, 0, 0, 0.0,
